doc_id,company_name,stock_code,grant_amount,grant_ratio,participant_count,exercise_price,market_price,discount_rate,waiting_period,validity_period,employee_count,participant_ratio
1224831097,富祥药业,300497,620.0,7.58,50.0,16.15,16.14,-0.06,12.0,60.0,2263.0,2.2095
1224906264,弘亚数控,2833,1266.0,20.96,191.0,11.99,15.99,25.02,12.0,60.0,2192.0,8.7135
1224848770,良信股份,2706,776.0,1.0,386.0,8.22,9.96,17.47,12.0,36.0,1540.0,25.0649
1224821225,北方华创,2371,1046.5975,1.0,2306.0,235.74,392.9,40.0,24.0,84.0,72160.0,3.1957
1224802424,安乃达,603350,110.625,5.0,86.0,39.02,38.63,-1.01,15.0,60.0,4606.0,1.8671
1224794179,杰创智能,301248,251.875,1.0,79.0,26.01,25.5,-2.0,12.0,60.0,9847.0,0.8023
1224755372,菲菱科思,301191,139.53,3.58,430.0,99.86,99.86,0.0,18.0,72.0,13583.0,3.1657
1224636846,运机集团,1288,498.0,1.0,31.0,17.32,23.09,24.99,48.0,48.0,4079.0,0.76
1224635293,君实生物,688180,2617.5871,1.0,251.0,46.67,46.67,0.0,12.0,48.0,5140.0,4.8833
1224633200,德明利,1309,425.589,2.13,294.0,80.99,101.24,20.0,12.0,60.0,75999.0,0.3868
1224633025,*ST双成,2693,2000.0,29.1368,149.0,7.93,7.9,-0.38,12.0,48.0,1243.0,11.9871
1224560888,晶澳科技,2459,16177.6185,41.17,1975.0,9.15,12.2,25.0,12.0,60.0,1554.0,127.0914
1224561767,恒生电子,600570,1515.9,1.0,624.0,37.98,37.98,0.0,12.0,60.0,4022.0,15.5147
1224687306,盾安环境,2011,477.0,0.45,415.0,14.1,14.1,0.0,12.0,120.0,1555.0,26.6881
1224686434,魅视科技,1229,60.0,0.6,82.0,26.13,31.52,17.1,12.0,48.0,4484.0,1.8287
1224682345,众兴菌业,2772,1437.5,28.7786,17.0,6.87,9.16,25.0,12.0,60.0,1943.0,0.8749
1224682826,明阳智能,601615,2000.0,19.63,260.0,14.03,14.03,0.0,12.0,36.0,2690.0,9.6654
1224518013,大洋电机,2249,1560.0,1.0,715.0,6.12,8.16,25.0,12.0,48.0,1325.0,53.9623
1224519309,永冠新材,603681,580.0,19.49,112.0,16.1,16.1,0.0,12.0,48.0,2872.0,3.8997
1224672514,卡莱特,301391,180.0,1.67,308.0,68.57,68.56,-0.01,48.0,48.0,10173.0,3.0276
