company_name,stock_code,grant_ratio,participant_ratio,discount_rate,waiting_period,validity_period
富祥药业,300497,7.58,2.2095,0.74,12.0,60.0
弘亚数控,2833,20.96,8.7135,25.06,12.0,60.0
良信股份,2706,1.0,25.0649,17.39,12.0,36.0
北方华创,2371,1.0,3.1957,39.06,24.0,84.0
安乃达,603350,5.0,1.8671,-1.69,12.0,12.0
杰创智能,301248,1.0,0.8023,-2.6,12.0,36.0
菲菱科思,301191,3.58,3.1657,-0.72,18.0,72.0
运机集团,1288,1.0,0.76,24.13,12.0,48.0
君实生物,688180,1.0,4.8833,-0.86,12.0,12.0
德明利,1309,2.13,0.3868,20.57,12.0,60.0
*ST双成,2693,29.1368,11.9871,0.88,12.0,48.0
晶澳科技,2459,41.17,127.0914,25.43,12.0,60.0
恒生电子,600570,1.0,15.5147,1.25,60.0,60.0
盾安环境,2011,0.45,26.6881,-0.86,12.0,86.30999999999977
魅视科技,1229,0.6,1.8287,16.78,12.0,48.0
众兴菌业,2772,28.7786,0.8749,25.49,12.0,60.0
明阳智能,601615,19.63,9.6654,0.64,12.0,36.0
大洋电机,2249,1.0,53.9623,24.63,48.0,48.0
永冠新材,603681,19.49,3.8997,0.56,12.0,12.0
卡莱特,301391,1.67,3.0276,4.55,12.0,48.0
盈新发展,620,0.85,22.0049,-2.47,12.0,12.0
神马电力,603530,18.28,0.8251,0.38,12.0,12.0
鹏辉能源,300438,1.0,3.4408,20.16,12.0,12.0
凯中精密,2823,42.04,0.5152,24.46,36.0,36.0
乐心医疗,300562,28.91,3.643,-2.22,12.0,36.0
华胜天成,600410,17.8647,0.2332,19.63,12.0,60.0
超讯通信,603322,20.012,0.8167,19.39,36.0,36.0
柳药集团,603368,19.7,5.1625,0.33,12.0,36.0
海量数据,603138,16.3076,0.4016,10.21,12.0,86.30999999999977
复星医药,2196,3.435,6.0725,0.46,60.0,60.0
复星医药,2196,3.435,6.0725,-21.8851,60.0,60.0
日辰股份,603755,1.0,0.6354,-7.94,12.0,48.0
超图软件,300036,4.76,15.3947,-0.18,12.0,60.0
深圳新星,603978,25.0,0.1507,20.56,36.0,36.0
奥尼电子,301189,29.09,0.3826,-0.07,12.0,48.0
新国都,300130,1.58,1.8551,-18.09,12.0,36.0
诺德股份,600110,2.02,9.4011,2.29,12.0,36.0
歌尔股份,2241,1.95,156.2221,0.27,12.0,36.0
君逸数码,301172,100.0,1.0766,-0.53,12.0,48.0
菲沃泰,688371,1.0,0.3379,-5.06,12.0,60.0
焦点科技,2315,29.38,23.8815,25.21,12.0,12.0
罗普特,688619,19.82,1.2276,-0.5,12.0,12.0
圆通速递,600233,20.26,6.1242,19.63,12.0,12.0
味知香,605089,1.0,2.7869,18.56,12.0,60.0
老板电器,2508,29.0153,16.9091,16.88,12.0,48.0
立讯精密,2475,0.68,38.2245,19.8,12.0,84.0
开普云,688228,19.0817,0.4289,-0.24,12.0,12.0
璞泰来,603659,19.0258,6.957,20.13,12.0,60.0
兆新股份,2256,1.0,15.3043,19.22,60.0,60.0
沃尔核材,2130,100.0,5.6349,-1.54,12.0,36.0
万东医疗,600055,19.1318,4.6081,9.7,12.0,60.0
远航精密,833914,1.0,10.5754,46.54,12.0,12.0
瑞芯微,603893,17.09,0.028,18.72,48.0,48.0
韦尔股份,603501,17.45,21.9363,0.28,48.0,48.0
万里马,300591,1.0,4.1428,-0.22,12.0,36.0
指南针,300803,1.0,2.3585,-0.79,12.0,39.0
东方通,300379,2.15,6.0606,-5.56,12.0,36.0
永臻股份,603381,19.9401,4.0037,17.61,12.0,60.0
步科股份,688160,1.0,0.3262,-1.28,12.0,12.0
未名医药,2581,9.47,8.569,-0.73,12.0,40.0
国子软件,872953,1.0,8.125,16.05,12.0,12.0
东土科技,300353,38.03,1.0424,-13.55,12.0,12.0
罗莱生活,2293,2.32,13.1673,49.31,12.0,60.0
拓邦股份,2139,100.0,71.09,19.26,12.0,48.0
凯盛科技,600552,1.0,8.124,-6.31,12.0,12.0
新洁能,605111,1.0,1.9494,20.28,60.0,60.0
播恩集团,1366,1.0,4.6212,-3.46,12.0,12.0
朗鸿科技,836395,1.0,0.8101,44.75,12.0,12.0
国晟科技,603778,1.0,2.2177,49.626999999999995,12.0,12.0
志特新材,300986,21.48,4.1932,13.37,12.0,12.0
华谊兄弟,300027,3.29,57.362,1.72,48.0,36.0
苏 泊 尔,2032,8.488,1.0751,25.19,12.0,24.0
剑桥科技,603083,13.15,3.6175,-5.36,12.0,36.0
普门科技,688389,1.0,12.7397,-6.56,48.0,48.0
大博医疗,2901,20.76,10.2556,0.42,12.0,12.0
有研硅,688432,30.69,4.2357,-3.88,12.0,12.0
山水比德,300844,6.0,0.7705,-2.31,36.0,36.0
引力传媒,603598,1.01,0.6381,17.67,12.0,36.0
金河生物,2688,20.52,3.1407,20.11,12.0,36.0
道森股份,603800,15.45,0.6212,21.24,36.0,36.0
豪恩汽电,301488,24.96,0.9016,0.94,12.0,12.0
新巨丰,301296,50.0,12.4514,-2.39,12.0,36.0
安正时尚,603839,1.0,1.3817,-6.15,12.0,12.0
富春股份,300299,20.25,4.0881,0.28,12.0,36.0
天津普林,2134,30.0,0.2971,0.33,12.0,36.0
沪电股份,2463,0.6667,4.3844,40.83,24.0,48.0
共达电声,2655,6.6667,2.6562,0.0,12.0,12.0
领益智造,2600,30.38,77.7778,20.07,60.0,60.0
理工能科,2322,6.25,5.7049,0.43,12.0,48.0
春风动力,603129,13.19,4.358,17.45,12.0,12.0
海星股份,603115,8.89,0.7213,15.07,48.0,48.0
曲美家居,603818,38.9685,16.2791,-5.33,12.0,12.0
小熊电器,2959,1.0275,0.889,24.23,12.0,36.0
极米科技,688696,1.97,0.1558,0.24,12.0,12.0
天马科技,603668,13.27,7.8921,0.0,12.0,48.0
牧高笛,603908,1.0,1.1311,19.46,12.0,12.0
瑞玛精密,2976,5.0,2.7707,23.49,12.0,12.0
拉芳家化,603630,1.07,1.026,20.88,12.0,42.0
三只松鼠,300783,19.87,3.3264,0.33,12.0,12.0
邦基科技,603151,1.0,4.9505,0.85,12.0,12.0
锐明技术,2970,20.0673,1.7311,21.78,12.0,48.0
日盈电子,603286,2.0,1.5332,38.66,60.0,12.0
中贝通信,603220,13.34,2.1683,-0.44,12.0,12.0
康冠科技,1308,0.68,85.1383,-3.43,12.0,48.0
华铁应急,603300,13.34,41.6601,-4.01,12.0,36.0
东鹏控股,3012,1.0,15.6489,1.82,12.0,60.0
国光连锁,605188,1.0,5.023,20.88,12.0,48.0
