stock_code,company_name,employee_count,status,source
300497,富祥药业,2263,成功,东方财富API
002833,弘亚数控,2192,成功,东方财富API
002706,良信股份,1540,成功,东方财富API
002371,北方华创,72160,成功,原数据
603350,安乃达,4606,成功,原数据
301248,杰创智能,9847,成功,原数据
301191,菲菱科思,13583,成功,原数据
001288,运机集团,4079,成功,原数据
688180,君实生物,5140,成功,原数据
001309,德明利,75999,成功,原数据
002693,*ST双成,1243,成功,原数据
002459,晶澳科技,1554,成功,原数据
600570,恒生电子,4022,成功,原数据
002011,盾安环境,1555,成功,原数据
001229,魅视科技,4484,成功,原数据
002772,众兴菌业,1943,成功,原数据
601615,明阳智能,2690,成功,原数据
002249,大洋电机,1325,成功,原数据
603681,永冠新材,2872,成功,原数据
301391,卡莱特,10173,成功,原数据
000620,盈新发展,409,成功,原数据
603530,神马电力,7393,成功,原数据
300438,鹏辉能源,9271,成功,东方财富API
002823,凯中精密,2135,成功,东方财富API
300562,乐心医疗,1098,成功,手动填充
600410,华胜天成,3431,成功,东方财富API
603322,超讯通信,6000,成功,东方财富API
603368,柳药集团,2092,成功,东方财富API
603138,海量数据,2490,成功,东方财富API
600196,复星医药,3310,成功,原数据
02196,复星医药,3310,成功,同公司填充(原数据)
603755,日辰股份,4092,成功,原数据
300036,超图软件,2280,成功,原数据
603978,深圳新星,3982,成功,原数据
301189,奥尼电子,11500,成功,原数据
300130,新国都,3935,成功,原数据
600110,诺德股份,1319,成功,原数据
002241,歌尔股份,4034,成功,原数据
301172,君逸数码,4180,成功,原数据
688371,菲沃泰,4439,成功,原数据
002315,焦点科技,4828,成功,原数据
688619,罗普特,2118,成功,原数据
600233,圆通速递,2286,成功,原数据
605089,味知香,3337,成功,原数据
002508,老板电器,2200,成功,原数据
002475,立讯精密,8178,成功,原数据
688228,开普云,27981,成功,原数据
603659,璞泰来,3766,成功,原数据
002256,兆新股份,575,成功,原数据
002130,沃尔核材,8749,成功,手动填充
600055,万东医疗,1888,成功,东方财富API
833914,远航精密,643,成功,手动填充
603893,瑞芯微,24969,成功,东方财富API
603501,韦尔股份,15700,成功,东方财富API
300591,万里马,1569,成功,东方财富API
300803,指南针,17893,成功,东方财富API
300379,东方通,2145,成功,东方财富API
603381,永臻股份,3222,成功,东方财富API
688160,步科股份,17170,成功,原数据
600388,龙净环保,2073,成功,原数据
002581,未名医药,1167,成功,原数据
872953,国子软件,1120,成功,手动填充
300353,东土科技,2878,成功,原数据
002293,罗莱生活,1124,成功,原数据
002139,拓邦股份,1688,成功,原数据
600552,凯盛科技,2388,成功,原数据
605111,新洁能,7079,成功,原数据
001366,播恩集团,1861,成功,原数据
836395,朗鸿科技,3086,成功,原数据
603778,国晟科技,3427,成功,原数据
300986,志特新材,4555,成功,原数据
300027,华谊兄弟,326,成功,原数据
002032,苏 泊 尔,5302,成功,原数据
603083,剑桥科技,21949,成功,原数据
688389,普门科技,1460,成功,原数据
002901,大博医疗,6650,成功,东方财富API
688432,有研硅,2172,成功,东方财富API
300844,山水比德,6100,成功,东方财富API
603598,引力传媒,3448,成功,东方财富API
002688,金河生物,796,成功,东方财富API
603800,道森股份,8049,成功,东方财富API
301488,豪恩汽电,22182,成功,东方财富API
301296,新巨丰,1028,成功,原数据
603839,安正时尚,1158,成功,原数据
300299,富春股份,954,成功,原数据
002134,天津普林,3366,成功,原数据
002463,沪电股份,14278,成功,原数据
002655,共达电声,4480,成功,原数据
002600,领益智造,1881,成功,原数据
002322,理工能科,1525,成功,原数据
603129,春风动力,30060,成功,原数据
603115,海星股份,12200,成功,原数据
603818,曲美家居,559,成功,原数据
002959,小熊电器,5512,成功,原数据
688696,极米科技,13477,成功,原数据
603668,天马科技,1964,成功,原数据
603908,牧高笛,2829,成功,东方财富API
002976,瑞玛精密,3898,成功,东方财富API
603630,拉芳家化,3119,成功,东方财富API
300783,三只松鼠,2886,成功,东方财富API
603151,邦基科技,3131,成功,东方财富API
002970,锐明技术,8434,成功,东方财富API
603286,日盈电子,8479,成功,东方财富API
603220,中贝通信,3459,成功,东方财富API
001308,康冠科技,2530,成功,原数据
603300,华铁应急,1277,成功,原数据
003012,东鹏控股,786,成功,原数据
605188,国光连锁,2827,成功,原数据
000559,万向钱潮,2160,成功,原数据
003001,中岩大地,3710,成功,原数据
301319,唯特偶,14372,成功,原数据
833030,立方控股,3100,成功,原数据
