company_name,stock_code,participant_ratio
富祥药业,300497,2.2095
弘亚数控,2833,8.7135
良信股份,2706,25.0649
北方华创,2371,3.1957
安乃达,603350,1.8671
杰创智能,301248,0.8023
菲菱科思,301191,3.1657
运机集团,1288,0.76
君实生物,688180,4.8833
德明利,1309,0.3868
*ST双成,2693,11.9871
晶澳科技,2459,90.25714800000013
恒生电子,600570,15.5147
盾安环境,2011,26.6881
魅视科技,1229,1.8287
众兴菌业,2772,0.8749
明阳智能,601615,9.6654
大洋电机,2249,53.9623
永冠新材,603681,3.8997
卡莱特,301391,3.0276
盈新发展,620,22.0049
神马电力,603530,0.8251
鹏辉能源,300438,3.4408
凯中精密,2823,0.5152
乐心医疗,300562,3.643
华胜天成,600410,0.2332
超讯通信,603322,0.8167
柳药集团,603368,5.1625
海量数据,603138,0.4016
复星医药,600196,6.0725
复星医药,2196,6.0725
日辰股份,603755,0.6354
超图软件,300036,15.3947
深圳新星,603978,0.1507
奥尼电子,301189,0.3826
新国都,300130,1.8551
诺德股份,600110,9.4011
歌尔股份,2241,90.25714800000013
君逸数码,301172,1.0766
菲沃泰,688371,0.3379
焦点科技,2315,23.8815
罗普特,688619,1.2276
圆通速递,600233,6.1242
味知香,605089,2.7869
老板电器,2508,16.9091
立讯精密,2475,38.2245
开普云,688228,0.4289
璞泰来,603659,6.957
兆新股份,2256,15.3043
沃尔核材,2130,5.6349
万东医疗,600055,4.6081
远航精密,833914,10.5754
瑞芯微,603893,0.142681
韦尔股份,603501,21.9363
万里马,300591,4.1428
指南针,300803,2.3585
东方通,300379,6.0606
永臻股份,603381,4.0037
步科股份,688160,0.3262
未名医药,2581,8.569
国子软件,872953,8.125
东土科技,300353,1.0424
罗莱生活,2293,13.1673
拓邦股份,2139,71.09
凯盛科技,600552,8.124
新洁能,605111,1.9494
播恩集团,1366,4.6212
朗鸿科技,836395,0.8101
国晟科技,603778,2.2177
志特新材,300986,4.1932
华谊兄弟,300027,57.362
苏 泊 尔,2032,1.0751
剑桥科技,603083,3.6175
普门科技,688389,12.7397
大博医疗,2901,10.2556
有研硅,688432,4.2357
山水比德,300844,0.7705
引力传媒,603598,0.6381
金河生物,2688,3.1407
道森股份,603800,0.6212
豪恩汽电,301488,0.9016
新巨丰,301296,12.4514
安正时尚,603839,1.3817
富春股份,300299,4.0881
天津普林,2134,0.2971
沪电股份,2463,4.3844
共达电声,2655,2.6562
领益智造,2600,77.7778
理工能科,2322,5.7049
春风动力,603129,4.358
海星股份,603115,0.7213
曲美家居,603818,16.2791
小熊电器,2959,0.889
极米科技,688696,0.1558
天马科技,603668,7.8921
牧高笛,603908,1.1311
瑞玛精密,2976,2.7707
拉芳家化,603630,1.026
三只松鼠,300783,3.3264
邦基科技,603151,4.9505
锐明技术,2970,1.7311
日盈电子,603286,1.5332
中贝通信,603220,2.1683
康冠科技,1308,85.1383
华铁应急,603300,41.6601
东鹏控股,3012,15.6489
国光连锁,605188,5.023
万向钱潮,559,27.8704
立方控股,833030,2.0645
信质集团,2664,4.3014
鼎龙股份,300054,3.6283
伟创电气,688698,0.8478
亿联网络,300628,6.6047
兆易创新,603986,1.9173
祖名股份,3030,1.5101
蔚蓝锂芯,2245,6.1181
宁水集团,603700,5.6667
纳思达,2180,79.851
捷邦科技,301326,0.3603
达嘉维康,301126,2.2177
振华重工,600320,61.4159
斯瑞新材,688102,1.5143
七一二,603712,16.419
欣锐科技,300745,3.7002
美年健康,2044,40.5405
光智科技,300489,0.9837
捷顺科技,2609,17.2908
海大集团,2311,54.8477
中远海能,600026,3.9382
奕瑞科技,688301,2.1202
连城数控,835368,7.8053
中国天楹,35,43.3721
安井食品,603345,12.9956
钧达股份,2865,3.8567
盈方微,670,5.5209
纵横通信,603602,0.2817
宏川智慧,2930,11.3152
"创远仪器,创远信科",831961,5.7252
索菱股份,2766,3.1017
亿纬锂能,300014,0.467
金雷股份,300443,1.5497
天融信,2212,1.9824
神通科技,605228,8.8235
游族网络,2174,19.7796
龙蟠科技,603906,5.7648
保隆科技,603197,10.3493
环旭电子,601231,8.5257
移远通信,603236,3.8911
煌上煌,2695,13.5531
先惠技术,688155,6.7059
海利生物,603718,12.5954
岱勒新材,300700,1.6098
胜利精密,2426,55.5094
飞鹿股份,300665,5.2918
闻泰科技,600745,37.4606
禾信仪器,688622,0.4457
奥拓电子,2587,12.2117
奇安信,688561,12.3957
家家悦,603708,26.2712
华体科技,603679,4.6139
法本信息,300925,2.4225
韵达股份,2120,39.8455
高能环境,603588,40.5172
粤海饲料,1313,24.6988
三孚新科,688359,0.142681
苏州科达,603660,65.1755
瑞茂通,600180,28.2051
思源电气,2028,1.9948
柳    工,528,86.6142
歌力思,603808,43.1338
爱旭股份,600732,63.2584
直真科技,3007,1.1383
香飘飘,603711,2.2543
遥望科技,2291,28.9871
绿盟科技,300369,39.4118
华岭股份,430139,1.9165
悦心健康,2162,13.0233
爱玛科技,603529,8.8219
同力股份,834599,1.0
淳中科技,603516,0.8259
兴业科技,2674,13.4946
振江股份,603507,0.3014
因赛集团,300781,1.929
禾望电气,603063,5.2836
神州信息,555,11.2511
ST同洲,2052,4.5238
济民医疗,603222,2.7815
铂科新材,300811,2.2845
欧菲光,2456,7.8167
长园集团,600525,18.3306
元隆雅图,2878,1.2764
神雾节能,820,3.7037
