Rank,stock_code,company_name,Generosity Score
1,2459,晶澳科技,0.905358
2,2600,领益智造,0.74367
3,528,柳    工,0.582406
4,2241,歌尔股份,0.573622
5,1308,康冠科技,0.53771
6,2180,纳思达,0.527366
7,301296,新巨丰,0.510213
8,2426,胜利精密,0.504057
9,2139,拓邦股份,0.474631
10,603818,曲美家居,0.442432
11,603660,苏州科达,0.424187
12,2315,焦点科技,0.416837
13,2044,美年健康,0.411939
14,600320,振华重工,0.41046
15,600732,爱旭股份,0.409868
16,300027,华谊兄弟,0.395904
17,603300,华铁应急,0.382109
18,2823,凯中精密,0.379322
19,2508,老板电器,0.371949
20,2311,海大集团,0.366711
21,2249,大洋电机,0.361624
22,300353,东土科技,0.347565
23,2693,*ST双成,0.341698
24,688432,有研硅,0.316102
25,603501,韦尔股份,0.304744
26,35,中国天楹,0.304245
27,603808,歌力思,0.296471
28,300369,绿盟科技,0.293385
29,300562,乐心医疗,0.28686
30,2174,游族网络,0.286674
31,603588,高能环境,0.283355
32,2772,众兴菌业,0.281179
33,2475,立讯精密,0.277929
34,2162,悦心健康,0.277203
35,2120,韵达股份,0.277095
36,2134,天津普林,0.276448
37,301189,奥尼电子,0.273443
38,600745,闻泰科技,0.264499
39,2901,大博医疗,0.263347
40,2833,弘亚数控,0.263345
41,2695,煌上煌,0.253318
42,555,神州信息,0.252669
43,601615,明阳智能,0.246772
44,301488,豪恩汽电,0.246735
45,600180,瑞茂通,0.240726
46,300986,志特新材,0.237641
47,603978,深圳新星,0.237625
48,603659,璞泰来,0.236598
49,820,神雾节能,0.232354
50,2930,宏川智慧,0.228964
51,300781,因赛集团,0.228455
52,603381,永臻股份,0.226477
53,600233,圆通速递,0.22614
54,600055,万东医疗,0.222327
55,603345,安井食品,0.221513
56,603368,柳药集团,0.220985
57,300299,富春股份,0.219179
58,2688,金河生物,0.218602
59,2011,盾安环境,0.217482
60,603529,爱玛科技,0.217346
61,603681,永冠新材,0.215793
62,300783,三只松鼠,0.215535
63,2664,信质集团,0.214897
64,2970,锐明技术,0.210589
65,2291,遥望科技,0.209432
66,559,万向钱潮,0.206814
67,688619,罗普特,0.202842
68,603708,家家悦,0.199967
69,605228,神通科技,0.195554
70,603322,超讯通信,0.194452
71,688228,开普云,0.19215
72,603530,神马电力,0.191847
73,1313,粤海饲料,0.190763
74,603668,天马科技,0.188472
75,2706,良信股份,0.187515
76,688155,先惠技术,0.186328
77,600410,华胜天成,0.185625
78,603138,海量数据,0.184439
79,603222,济民医疗,0.181294
80,603893,瑞芯微,0.177027
81,603679,华体科技,0.175812
82,603129,春风动力,0.169505
83,620,盈新发展,0.169428
84,300036,超图软件,0.166938
85,300665,飞鹿股份,0.164512
86,603236,移远通信,0.164232
87,603800,道森股份,0.162512
88,2581,未名医药,0.157787
89,603083,剑桥科技,0.157683
90,600525,长园集团,0.155358
91,688698,伟创电气,0.154133
92,688102,斯瑞新材,0.152618
93,603220,中贝通信,0.151627
