company_name,stock_code,Generosity Score
富祥药业,300497,0.11274
弘亚数控,2833,0.263345
良信股份,2706,0.187515
北方华创,2371,0.075077
安乃达,603350,0.088775
杰创智能,301248,0.050608
菲菱科思,301191,0.088053
运机集团,1288,0.040575
君实生物,688180,0.070863
德明利,1309,0.060448
*ST双成,2693,0.341698
晶澳科技,2459,0.905358
恒生电子,600570,0.137005
盾安环境,2011,0.217482
魅视科技,1229,0.052104
众兴菌业,2772,0.281179
明阳智能,601615,0.246772
大洋电机,2249,0.361624
永冠新材,603681,0.215793
卡莱特,301391,0.055828
盈新发展,620,0.169428
神马电力,603530,0.191847
鹏辉能源,300438,0.065201
凯中精密,2823,0.379322
乐心医疗,300562,0.28686
华胜天成,600410,0.185625
超讯通信,603322,0.194452
柳药集团,603368,0.220985
海量数据,603138,0.184439
复星医药,600196,0.075333
复星医药,2196,0.075333
日辰股份,603755,0.044958
超图软件,300036,0.166938
深圳新星,603978,0.237625
奥尼电子,301189,0.273443
新国都,300130,0.051426
诺德股份,600110,0.109851
歌尔股份,2241,0.573622
君逸数码,301172,0.0735
菲沃泰,688371,0.047436
焦点科技,2315,0.416837
罗普特,688619,0.202842
圆通速递,600233,0.22614
味知香,605089,0.065215
老板电器,2508,0.371949
立讯精密,2475,0.277929
开普云,688228,0.19215
璞泰来,603659,0.236598
兆新股份,2256,0.138084
沃尔核材,2130,0.06846
万东医疗,600055,0.222327
远航精密,833914,0.114385
瑞芯微,603893,0.177027
韦尔股份,603501,0.304744
万里马,300591,0.064957
指南针,300803,0.052348
东方通,300379,0.082939
永臻股份,603381,0.226477
步科股份,688160,0.0481
未名医药,2581,0.157787
国子软件,872953,0.08871
东土科技,300353,0.347565
罗莱生活,2293,0.135729
拓邦股份,2139,0.474631
凯盛科技,600552,0.093808
新洁能,605111,0.060385
播恩集团,1366,0.069329
朗鸿科技,836395,0.05335
国晟科技,603778,0.063083
志特新材,300986,0.237641
华谊兄弟,300027,0.395904
苏 泊 尔,2032,0.103446
剑桥科技,603083,0.157683
普门科技,688389,0.115843
大博医疗,2901,0.263347
有研硅,688432,0.316102
山水比德,300844,0.083626
引力传媒,603598,0.038137
金河生物,2688,0.218602
道森股份,603800,0.162512
豪恩汽电,301488,0.246735
新巨丰,301296,0.510213
安正时尚,603839,0.045772
富春股份,300299,0.219179
天津普林,2134,0.276448
沪电股份,2463,0.067582
共达电声,2655,0.107747
领益智造,2600,0.74367
理工能科,2322,0.118458
春风动力,603129,0.169505
海星股份,603115,0.112953
曲美家居,603818,0.442432
小熊电器,2959,0.047276
极米科技,688696,0.053402
天马科技,603668,0.188472
牧高笛,603908,0.053638
瑞玛精密,2976,0.094205
拉芳家化,603630,0.049681
三只松鼠,300783,0.215535
邦基科技,603151,0.075168
锐明技术,2970,0.210589
日盈电子,603286,0.063587
中贝通信,603220,0.151627
康冠科技,1308,0.53771
华铁应急,603300,0.382109
东鹏控股,3012,0.137947
国光连锁,605188,0.074469
万向钱潮,559,0.206814
立方控股,833030,0.058001
信质集团,2664,0.214897
鼎龙股份,300054,0.069796
伟创电气,688698,0.154133
亿联网络,300628,0.06953
兆易创新,603986,0.065493
祖名股份,3030,0.04877
蔚蓝锂芯,2245,0.077392
宁水集团,603700,0.069922
纳思达,2180,0.527366
捷邦科技,301326,0.080403
达嘉维康,301126,0.090441
振华重工,600320,0.41046
斯瑞新材,688102,0.152618
七一二,603712,0.133301
欣锐科技,300745,0.099363
美年健康,2044,0.411939
光智科技,300489,0.102395
捷顺科技,2609,0.139563
海大集团,2311,0.366711
中远海能,600026,0.047037
奕瑞科技,688301,0.057411
连城数控,835368,0.10207
中国天楹,35,0.304245
安井食品,603345,0.221513
钧达股份,2865,0.067637
盈方微,670,0.064023
纵横通信,603602,0.145572
宏川智慧,2930,0.228964
"创远仪器,创远信科",831961,0.081583
索菱股份,2766,0.054009
亿纬锂能,300014,0.035196
金雷股份,300443,0.081911
天融信,2212,0.036738
神通科技,605228,0.195554
游族网络,2174,0.286674
龙蟠科技,603906,0.091085
保隆科技,603197,0.095313
环旭电子,601231,0.087832
移远通信,603236,0.164232
煌上煌,2695,0.253318
先惠技术,688155,0.186328
海利生物,603718,0.124225
岱勒新材,300700,0.041369
胜利精密,2426,0.504057
飞鹿股份,300665,0.164512
闻泰科技,600745,0.264499
禾信仪器,688622,0.143543
奥拓电子,2587,0.113759
奇安信,688561,0.118748
家家悦,603708,0.199967
华体科技,603679,0.175812
法本信息,300925,0.06037
韵达股份,2120,0.277095
高能环境,603588,0.283355
粤海饲料,1313,0.190763
三孚新科,688359,0.032813
苏州科达,603660,0.424187
瑞茂通,600180,0.240726
思源电气,2028,0.047959
柳    工,528,0.582406
歌力思,603808,0.296471
爱旭股份,600732,0.409868
直真科技,3007,0.060437
香飘飘,603711,0.117096
遥望科技,2291,0.209432
绿盟科技,300369,0.293385
华岭股份,430139,0.064011
悦心健康,2162,0.277203
爱玛科技,603529,0.217346
同力股份,834599,0.052001
淳中科技,603516,0.150068
兴业科技,2674,0.151
振江股份,603507,0.034412
因赛集团,300781,0.228455
禾望电气,603063,0.077118
神州信息,555,0.252669
ST同洲,2052,0.072602
济民医疗,603222,0.181294
铂科新材,300811,0.065153
欧菲光,2456,0.109171
长园集团,600525,0.155358
元隆雅图,2878,0.067653
神雾节能,820,0.232354
