company_name,stock_code,Generosity Score,Cluster
富祥药业,300497,0.905358,2
弘亚数控,2833,0.74367,1
良信股份,2706,0.582406,2
北方华创,2371,0.573622,2
安乃达,603350,0.53771,2
杰创智能,301248,0.527366,2
菲菱科思,301191,0.510213,2
运机集团,1288,0.504057,0
君实生物,688180,0.474631,2
德明利,1309,0.442432,2
*ST双成,2693,0.424187,1
晶澳科技,2459,0.416837,1
恒生电子,600570,0.411939,2
盾安环境,2011,0.41046,2
魅视科技,1229,0.409868,2
众兴菌业,2772,0.395904,1
明阳智能,601615,0.382109,1
大洋电机,2249,0.379322,2
永冠新材,603681,0.371949,1
卡莱特,301391,0.366711,0
盈新发展,620,0.361624,2
神马电力,603530,0.347565,1
鹏辉能源,300438,0.341698,2
凯中精密,2823,0.316102,1
乐心医疗,300562,0.304744,1
华胜天成,600410,0.304245,1
超讯通信,603322,0.296471,0
柳药集团,603368,0.293385,1
海量数据,603138,0.28686,0
复星医药,600196,0.286674,2
复星医药,2196,0.283355,2
日辰股份,603755,0.281179,2
超图软件,300036,0.277929,2
深圳新星,603978,0.277203,1
奥尼电子,301189,0.277095,1
新国都,300130,0.276448,2
诺德股份,600110,0.273443,2
歌尔股份,2241,0.264499,2
君逸数码,301172,0.263347,2
菲沃泰,688371,0.263345,2
焦点科技,2315,0.253318,1
罗普特,688619,0.252669,1
圆通速递,600233,0.246772,1
味知香,605089,0.246735,2
老板电器,2508,0.240726,1
立讯精密,2475,0.237641,2
开普云,688228,0.237625,1
璞泰来,603659,0.236598,1
兆新股份,2256,0.232354,2
沃尔核材,2130,0.228964,2
万东医疗,600055,0.228455,1
远航精密,833914,0.226477,2
瑞芯微,603893,0.22614,1
韦尔股份,603501,0.222327,1
万里马,300591,0.221513,2
指南针,300803,0.220985,2
东方通,300379,0.219179,2
永臻股份,603381,0.218602,1
步科股份,688160,0.217482,2
未名医药,2581,0.217346,2
国子软件,872953,0.215793,2
东土科技,300353,0.215535,1
罗莱生活,2293,0.214897,2
拓邦股份,2139,0.210589,2
凯盛科技,600552,0.209432,2
新洁能,605111,0.206814,2
播恩集团,1366,0.202842,2
朗鸿科技,836395,0.199967,2
国晟科技,603778,0.195554,2
志特新材,300986,0.194452,1
华谊兄弟,300027,0.19215,2
苏 泊 尔,2032,0.191847,0
剑桥科技,603083,0.190763,1
普门科技,688389,0.188472,2
大博医疗,2901,0.187515,1
有研硅,688432,0.186328,1
山水比德,300844,0.185625,2
引力传媒,603598,0.184439,0
金河生物,2688,0.181294,1
道森股份,603800,0.177027,1
豪恩汽电,301488,0.175812,1
新巨丰,301296,0.169505,1
安正时尚,603839,0.169428,2
富春股份,300299,0.166938,1
天津普林,2134,0.164512,1
沪电股份,2463,0.164232,2
共达电声,2655,0.162512,2
领益智造,2600,0.157787,1
理工能科,2322,0.157683,2
春风动力,603129,0.155358,1
海星股份,603115,0.154133,2
曲美家居,603818,0.152618,1
小熊电器,2959,0.151627,2
极米科技,688696,0.151,2
天马科技,603668,0.150068,1
牧高笛,603908,0.145572,2
瑞玛精密,2976,0.143543,2
拉芳家化,603630,0.139563,2
三只松鼠,300783,0.138084,1
邦基科技,603151,0.137947,2
锐明技术,2970,0.137005,1
日盈电子,603286,0.135729,2
中贝通信,603220,0.133301,1
康冠科技,1308,0.124225,2
华铁应急,603300,0.118748,1
东鹏控股,3012,0.118458,2
国光连锁,605188,0.117096,2
万向钱潮,559,0.115843,2
立方控股,833030,0.114385,2
信质集团,2664,0.113759,1
鼎龙股份,300054,0.112953,2
伟创电气,688698,0.11274,2
亿联网络,300628,0.109851,2
兆易创新,603986,0.109171,2
祖名股份,3030,0.107747,2
蔚蓝锂芯,2245,0.103446,2
宁水集团,603700,0.102395,2
纳思达,2180,0.10207,0
捷邦科技,301326,0.099363,2
达嘉维康,301126,0.095313,2
振华重工,600320,0.094205,2
斯瑞新材,688102,0.093808,2
七一二,603712,0.091085,2
欣锐科技,300745,0.090441,2
美年健康,2044,0.088775,1
光智科技,300489,0.08871,2
捷顺科技,2609,0.088053,2
海大集团,2311,0.087832,2
中远海能,600026,0.083626,2
奕瑞科技,688301,0.082939,2
连城数控,835368,0.081911,2
中国天楹,35,0.081583,2
安井食品,603345,0.080403,2
钧达股份,2865,0.077392,2
盈方微,670,0.077118,0
纵横通信,603602,0.075333,2
宏川智慧,2930,0.075333,1
"创远仪器,创远信科",831961,0.075168,2
索菱股份,2766,0.075077,2
